Percent poor,Percent fair,Percent good,Fair flag,Good flag,Poor flag,postcode,Tree Count,Population,Median Income,tree_id,Trees per 100 Residents
3.770197487,14.641930979,81.587871534,1468,8180,378,11215,10026,70156,180773,10026,8.766178231
3.567658856,20.624868060,75.807473084,977,3591,169,11217,4737,41407,158314,4737,7.619484628
5.154546274,20.672253762,74.173199964,2294,8231,572,10308,11097,30186,122654,11097,22.54687604
5.392480211,16.523746702,78.083773087,1002,4735,327,10025,6064,92805,109195,6064,3.846775497
5.401724921,20.018157059,74.580118021,441,1643,119,10022,2203,31125,171038,2203,5.057028112
5.939675174,21.531322506,72.529002320,464,1563,128,10040,2155,44571,64022,2155,3.255480021
0.930232558,47.441860465,51.627906977,102,111,2,10069,215,5085,226151,215,2.202556539
2.383387889,11.037234043,86.579378069,1079,8464,233,10469,9776,73870,76018,9776,8.552863138
5.375909458,19.644300728,74.979789814,972,3710,266,11101,4948,30043,116807,4948,10.80118497
6.798866856,19.452313503,73.748819641,206,781,72,10036,1059,27428,100225,1059,3.000583345
2.120141343,14.464075383,83.415783274,614,3541,90,11225,4245,58882,85201,4245,4.739988451
4.377403135,16.592724046,79.029872819,561,2672,148,10009,3381,57925,87963,3381,3.200690548
2.166666667,14.75,83.083333333,885,4985,130,11004,6000,19216,109865,6000,20.84200666
8.721506442,19.326065411,71.952428147,585,2178,264,10021,3027,46215,156712,3027,4.078762307
4.881820190,14.822178043,80.296001767,671,3635,221,11411,4527,20930,118393,4527,14.624940280
2.678571429,13.047889610,84.273538961,643,4153,132,10460,4928,59505,36067,4928,5.182757751
2.333211812,14.327378782,83.339409406,393,2286,64,10471,2743,21896,108738,2743,8.238947753
4.290206649,15.599730458,80.110062893,1389,7133,382,11229,8904,83615,72556,8904,6.906655504
3.762291578,14.442069260,81.795639162,1689,9566,440,11364,11695,36806,101222,11695,18.28777917
3.846153846,14.541622761,81.612223393,276,1549,73,10470,1898,15432,81134,1898,8.586054951
2.996589702,11.600603790,85.402806508,2075,15276,536,11234,17887,95666,94434,17887,11.32899881
3.963011889,14.200792602,81.836195509,860,4956,240,10456,6056,94218,35676,6056,3.984376658
2.335948645,9.620185449,88.043865906,1079,9875,262,11358,11216,37190,88729,11216,17.945684320
1.375583395,9.653647752,88.970768853,393,3622,56,11436,4071,20077,86104,4071,11.33137421
2.445803224,13.674263480,83.879933296,492,3018,88,11205,3598,46064,86753,3598,5.479333102
3.342816501,12.517780939,84.139402560,176,1183,47,10010,1406,33730,156127,1406,2.49332938
2.459592410,13.942375264,83.598032326,992,5948,175,11379,7115,37851,92509,7115,12.32992523
1.959412176,11.966410077,86.074177747,171,1230,28,10039,1429,27726,48792,1429,2.784390103
2.296639891,11.460572463,86.242787646,1013,7623,203,11367,8839,41824,75804,8839,12.01941469
3.539823009,17.779565567,78.680611424,442,1956,88,10454,2486,38203,27500,2486,4.342590896
67.391304348,32.608695652,0,15,0,31,11697,46,3540,134844,46,0.677966102
3.972138554,16.227409639,79.800451807,862,4239,211,11374,5312,42653,86333,5312,6.820153330
2.801092123,15.835777126,81.363130751,1566,8046,277,11375,9889,73488,104319,9889,9.174286958
1.833740831,11.939690302,86.226568867,586,4232,90,11421,4908,41002,89439,4908,6.621628213
4.889141558,19.073337123,76.037521319,671,2675,172,10003,3518,54682,153750,3518,3.553271643
5.644463668,15.700692042,78.654844291,726,3637,261,10027,4624,64548,64220,4624,4.407572659
4.381694255,15.871470302,79.746835443,163,819,45,10037,1027,21139,51250,1027,3.117460618
5.247130476,11.993441087,82.759428438,512,3533,224,11429,4269,31780,98232,4269,8.593455003
11.293781272,28.377412437,60.328806290,794,1688,316,11692,2798,20991,49507,2798,8.875232242
2.470340892,10.880012014,86.649647094,1449,11540,329,11434,13318,65989,76668,13318,11.870160180
3.297970480,18.288745387,78.413284133,793,3400,143,11360,4336,19621,100250,4336,12.20630957
3.593429158,8.957905544,87.448665298,349,3407,140,10011,3896,50472,146571,3896,4.041844983
5.143663417,27.488455618,67.367880965,2143,5252,401,11235,7796,78128,61689,7796,6.096405898
6.352683461,19.523548740,74.123767798,713,2707,232,10128,3652,59256,148705,3652,3.432563791
2.427942638,13.431776232,84.140281130,946,5926,171,11214,7043,92946,64286,7043,4.464958148
4.328485885,16.715141146,78.956372968,977,4615,253,11368,5845,112425,71798,5845,3.668223260
2.955665025,16.748768473,80.295566502,34,163,6,10004,203,3028,220592,203,3.863936592
7.492195630,25.008671523,67.499132848,721,1946,216,10034,2883,42910,69786,2883,3.509671405
3.812681310,17.778698715,78.408619975,1287,5676,276,11426,7239,20801,107591,7239,23.29695688
7.379219060,25.049636003,67.571144937,757,2042,223,10065,3022,28109,160938,3022,6.513927923
10.480349345,42.358078603,47.161572052,97,108,24,10005,229,8831,211810,229,1.472086966
3.496932515,15.858895706,80.644171779,517,2629,114,10455,3260,42283,36701,3260,4.493531679
3.326612903,12.528801843,84.144585253,870,5843,231,11219,6944,90036,55685,6944,4.733662091
2.814022952,12.010690143,85.175286905,764,5418,179,10473,6361,59609,50609,6361,7.106309450
3.000934143,14.140588510,82.858477347,1211,7096,257,10304,8564,41064,71506,8564,13.763880770
3.602401601,14.556370914,81.841227485,1091,6134,270,11218,7495,74508,95916,7495,6.286573254
4.098360656,13.606557377,82.295081967,83,502,25,10007,610,7023,250001,610,4.812758081
4.028296325,15.464727844,80.506975830,787,4097,205,11372,5089,61844,77133,5089,5.101545825
3.4,12.821052632,83.778947368,1218,7959,323,11420,9500,48489,98584,9500,10.72408175
4.371921182,18.041871921,77.586206897,879,3780,213,10452,4872,76078,37854,4872,3.97749678
20.543648719,28.593831678,50.862519603,547,973,393,11693,1913,12919,67829,1913,7.841164177
4.350370659,19.352321498,76.297307842,992,3911,223,11373,5126,93967,71470,5126,4.27171241
3.90625,12.378771552,83.714978448,919,6215,290,11220,7424,95643,64201,7424,4.652718965
2.390105298,19.421694802,78.188199900,1162,4678,143,11378,5983,37279,84762,5983,10.18535905
2.786318217,11.568024596,85.645657187,602,4457,145,10024,5204,59001,182614,5204,5.476178370
3.189219540,13.430656934,83.380123526,1196,7425,284,11422,8905,32082,108519,8905,18.94520292
2.730123593,17.081719240,80.188157167,926,4347,148,11216,5421,56308,95000,5421,6.091496768
9.880239521,23.241017964,66.878742515,1242,3574,528,11694,5344,21354,103792,5344,14.873091690
4.205838694,21.462147452,74.332013855,1735,6009,340,11201,8084,62823,169285,8084,6.935358069
2.278853222,7.963734379,89.757412399,325,3663,93,10302,4081,18204,76089,4081,12.61810591
4.356295378,13.945457765,81.698246857,1575,9227,492,11208,11294,98660,59988,11294,8.003243462
3.097557081,14.178508702,82.723934217,888,5181,194,11105,6263,37382,100306,6263,10.05831684
3.711379050,19.404672193,76.883948757,1030,4081,197,11356,5308,23362,91445,5308,12.61022173
6.909500563,23.357116035,69.733383402,622,1857,184,10016,2663,51057,153065,2663,3.496092602
2.703962704,18.391608392,78.904428904,789,3385,116,10468,4290,78647,46624,4290,3.584370669
6.802473627,21.680611131,71.516915242,596,1966,187,11415,2749,19372,88632,2749,8.600041297
7.215541166,21.184088807,71.600370028,229,774,78,10017,1081,15801,132518,1081,5.138915259
2.327475852,11.439543815,86.232980333,983,7410,200,11233,8593,76819,62034,8593,5.973782528
2.643397921,9.162068523,88.194533556,714,6873,206,10461,7793,50348,65023,7793,10.685628030
7.157769162,15.299731584,77.542499254,513,2600,240,10035,3353,35743,40556,3353,5.228995887
3.633309760,14.577439887,81.789250354,1649,9252,411,11413,11312,42443,114766,11312,16.780152200
4.318181818,18.585858586,77.095959596,736,3053,171,10014,3960,30738,167254,3960,8.143015160
3.952569170,7.378129117,88.669301713,56,673,30,10018,759,9687,133042,759,4.552493032
3.141937669,12.957317073,83.900745257,1530,9907,371,11432,11808,62053,75395,11808,10.660242050
1.333126647,7.208184778,91.458688575,465,5900,86,11412,6451,37458,98418,6451,11.874632920
1.771202334,11.731610752,86.497186914,563,4151,85,11366,4799,14650,117402,4799,19.945392490
3.521643434,13.352898019,83.125458547,182,1133,48,10464,1363,4434,100306,1363,23.410013530
3.246339911,12.746658180,84.007001910,801,5279,204,11226,6284,100277,81084,6284,3.695762737
2.328305755,11.041148045,86.630546200,754,5916,159,10462,6829,76756,63460,6829,5.273854813
4.797353184,16.583953681,78.618693135,401,1901,116,11102,2418,30800,102996,2418,5.383116883
6.846718787,24.733475480,68.419805733,1044,2888,289,11237,4221,49310,82570,4221,5.609409856
4.498500500,14.845051649,80.656447851,891,4841,270,10463,6002,71360,72952,6002,4.978979821
3.818551117,14.610697360,81.570751523,1079,6024,282,11377,7385,86421,73292,7385,6.258895407
3.641207815,13.181933519,83.176858665,1039,6556,287,11435,7882,59296,79430,7882,7.331017269
6.838074398,22.975929978,70.185995624,420,1283,125,10013,1828,28709,159474,1828,3.943014386
5.360181509,23.340896200,71.298922292,823,2514,189,11428,3526,18929,84977,3526,13.81478155
3.862146170,16.919878458,79.217975372,2116,9907,483,11207,12506,91972,55419,12506,9.016874701
8.137762877,19.871990247,71.990246876,652,2362,267,10032,3281,64264,56588,3281,3.224200174
6.289308176,7.547169811,86.163522013,12,137,10,11109,159,5981,198773,159,1.504765089
2.020485478,11.210888172,86.768626350,799,6184,144,11212,7127,76527,40060,7127,5.236060475
6.003781910,23.904821935,70.091396155,1517,4448,381,10457,6346,74554,44911,6346,5.247203369
5.137426149,18.058052915,76.804520935,703,2990,200,10002,3893,74993,46525,3893,2.87760191
3.839122486,23.004265692,73.156611822,1510,4802,252,11427,6564,24037,92129,6564,17.231767690
2.900407688,15.736750146,81.362842167,1351,6985,249,11221,8585,83835,85122,8585,5.899683903
2.704667733,12.476370510,84.818961757,858,5833,186,11211,6877,102624,105183,6877,3.864593078
3.885116331,15.317822554,80.797061115,1376,7258,349,10301,8983,38733,84937,8983,14.920093980
3.211836882,12.883435583,83.904727535,357,2325,89,11106,2771,38363,85573,2771,4.882308474
5.114969498,16.916940404,77.968090099,721,3323,218,11419,4262,49618,91231,4262,5.290418800
3.621249761,15.411809669,80.966940569,1613,8474,379,10305,10466,42298,86294,10466,15.686320870
2.787456446,12.304006969,84.908536585,565,3899,128,10472,4592,68796,43125,4592,4.798244084
6.548770379,19.508151423,73.943078198,706,2676,237,10451,3619,47798,37111,3619,4.742876271
5.793196362,21.690804985,72.515998653,644,2153,172,10026,2969,39363,74140,2969,4.494068033
0,11.25,88.75,9,71,0,10006,80,3454,209972,80,1.389693109
3.753046304,14.167343623,82.079610073,872,5052,231,11222,6155,36492,123963,6155,9.818590376
4.202334630,14.267185473,81.530479896,550,3143,162,10474,3855,12127,41279,3855,20.301805890
3.294598391,12.705912399,83.999489210,995,6578,258,10307,7831,15232,138807,7831,34.808298320
2.497502498,15.884115884,81.618381618,318,1634,50,10030,2002,29882,42738,2002,4.393949535
2.179698391,7.895070333,89.925231276,623,7096,172,11203,7891,75451,68028,7891,6.524764417
2.520247497,15.403189295,82.076563207,3062,16316,501,10306,19879,53142,97746,19879,23.74016785
1.752708732,14.117272148,84.130019120,443,2640,55,10475,3138,43208,62383,3138,4.156637660
2.890173410,11.199421965,85.910404624,620,4756,160,11423,5536,31400,80870,5536,10.85031847
5.149501661,24.086378738,70.764119601,145,426,31,10038,602,22800,115121,602,1.561403509
2.486224970,11.476952023,86.036823008,854,6402,185,10466,7441,72479,66328,7441,6.626747058
3.049555273,9.783989835,87.166454892,77,686,24,10280,787,9384,206250,787,4.315856777
4.943219773,20.059165951,74.997614276,2102,7859,518,11230,10479,89075,69522,10479,7.969688465
5.335865999,18.960455880,75.703678121,1098,4384,309,11231,5791,37845,138485,5791,9.232395297
3.011235955,13.640449438,83.348314607,607,3709,134,10459,4450,48351,39276,4450,6.018489793
2.133580705,10.250463822,87.615955473,1326,11334,276,11357,12936,39902,97754,12936,22.597864770
5.025741603,19.318460407,75.655797990,788,3086,205,11363,4079,6952,110833,4079,39.28365938
5.179996230,20.333605579,74.486398191,6473,23712,1649,10312,31834,61741,111434,31834,34.589656790
2.404585489,9.786103733,87.809310779,700,6281,172,10465,7153,44205,90255,7153,11.36749237
2.492591947,16.541746557,80.965661496,949,4645,143,11213,5737,66295,62040,5737,5.276416019
2.504234212,10.754899589,86.740866199,889,7170,207,11362,8266,18721,118989,8266,22.771219490
3.485502776,14.713140037,81.801357187,477,2652,113,11232,3242,27602,87517,3242,7.234982972
3.000621891,12.531094527,84.468283582,806,5433,193,11228,6432,44994,80737,6432,8.052184736
0.697674419,3.953488372,95.348837209,17,410,3,10282,430,5593,250001,430,4.112283211
2.331002331,8.068854223,89.600143446,450,4997,130,10310,5577,23262,106118,5577,15.02020463
3.746223565,13.655589124,82.598187311,678,4101,186,11369,4965,34118,80577,4965,9.176974031
5.144927536,23.768115942,71.086956522,984,2943,213,10029,4140,79597,38308,4140,2.816689071
3.673723537,11.955168120,84.371108344,192,1355,59,10001,1606,23072,123393,1606,3.684119279
3.072437766,17.515137923,79.412424310,781,3541,137,10453,4459,79606,35482,4459,3.610280632
3.497332543,11.223078443,85.279589014,568,4316,177,11418,5061,38517,84927,5061,8.333982397
7.3828125,20.1953125,72.421875,517,1854,189,10028,2560,47793,168125,2560,3.588391605
5.779016235,25.272595105,68.948388660,2086,5691,477,11691,8254,67094,57027,8254,7.991772737
3.690369037,13.081308131,83.228322832,436,2774,123,11103,3333,36140,92787,3333,6.228555617
2.689665254,9.837743020,87.472591726,673,5984,184,11204,6841,76978,67588,6841,5.925069500
4.533570674,15.925905323,79.540524003,2863,14299,815,10309,17977,33531,123638,17977,36.100921540
4.451300132,13.706478625,81.842221243,622,3714,202,11370,4538,32514,74895,4538,9.297533370
3.108974359,14.038461538,82.852564103,438,2585,97,11416,3120,27125,85544,3120,6.304147465
7.063572149,21.594349142,71.342078708,642,2121,210,10033,2973,59607,75585,2973,3.107017632
4.717197161,17.128463476,78.154339363,748,3413,206,10031,4367,60254,65067,4367,4.076077937
6.590529248,20.919220056,72.490250696,3755,13012,1183,11385,17950,106717,87365,17950,9.616087409
2.527472527,11.098901099,86.373626374,707,5502,161,11417,6370,31927,86330,6370,10.84661885
3.252747253,17.692307692,79.054945055,1610,7194,296,11223,9100,81789,63950,9100,7.024171955
5.763497847,31.401126201,62.835375952,948,1897,174,11224,3019,46707,41449,3019,3.825978975
3.539823009,17.920353982,78.539823009,1053,4615,208,11206,5876,88349,57280,5876,4.358849563
3.188405797,16.477146042,80.334448161,1478,7206,286,11354,8970,55200,62833,8970,10.07971015
3.811015401,16.679718089,79.509266510,1278,6092,292,11414,7662,29219,98209,7662,14.993668500
8.102189781,17.299270073,74.598540146,237,1022,111,10075,1370,23140,146556,1370,3.764044944
3.558078361,13.872352208,82.569569431,1002,5964,257,11355,7223,80853,53700,7223,6.175404747
3.906714201,12.254901961,83.838383838,825,5644,263,11433,6732,36489,71177,6732,9.671407822
3.663556531,11.031833150,85.304610318,804,6217,267,11210,7288,67040,83261,7288,7.719272076
3.063583815,16.242774566,80.693641618,562,2792,106,10023,3460,62435,157866,3460,3.528469608
2.985196696,13.224830294,83.789973011,1617,10245,365,11365,12227,44983,85375,12227,15.845986260
2.914012739,12.484076433,84.601910828,784,5313,183,10467,6280,103732,47806,6280,3.932248486
3.360509729,14.904768430,81.734721842,4351,23860,981,10314,29192,90761,104655,29192,17.992309470
4.638554217,9.518072289,85.843373494,158,1425,77,11239,1660,13244,35675,1660,7.195711265
3.308641975,17.020576132,79.670781893,1034,4840,201,11238,6075,54540,132957,6075,6.862852952
7.201379905,28.201811125,64.596808969,654,1498,167,10019,2319,43703,121835,2319,3.704551175
4.464973056,17.032332564,78.502694380,885,4079,232,10458,5196,83960,42107,5196,3.825631253
6.131549610,23.299888517,70.568561873,418,1266,110,10012,1794,23411,130938,1794,4.399641194
4.393998441,17.342166797,78.263834762,1780,8033,451,11236,10264,100331,82813,10264,6.429717635
3.457627119,14.024213075,82.518159806,1448,8520,357,11361,10325,27246,108391,10325,21.794024810
3.803339518,21.985157699,74.211502783,474,1600,82,11104,2156,26119,84716,2156,6.183238256
2.424665735,9.808421473,87.766912792,983,8796,243,11209,10022,67809,92656,10022,8.754000206
5.707243079,19.700417141,74.592339780,1039,3934,301,10303,5274,25947,79429,5274,11.831811
